username,follower_count,following_count,biography,category
jbalvin,50245361,4031,Ciudad Primavera 2026 🌼 ⬇️,
dennis.alexis.980,37,10,,
dfhn.8,261,77,✨,
vanem._20,410,347,♪ˇ,
kendrypaez.10,719534,215,"🇪🇨
@tiendakendrypaez
@rcsa 
@latriecu",Athlete
mg_argoti,381,235,💙G,
karolineee_18,1182,1169,"Emilitaa🌸
UTE 💚🩵
⚖️🤍
#18✨
Malchingui 🇪🇨",
moises_caicedo55,2982414,534,"@latriecu 🇪🇨
@chelseafc 🔵
@fundacion_ninomoi 🫂 JOSUE 1:9                                           @nm23.ec 
Twitter ❌",Athlete
giulianaenriquezp,2095,990,,
barbie.pvmx,812030,545,"•📍Monterrey
• ♪  Tiktok: Barbie.pvm
•👾 www.Twitch.tv/babipvm
• ► Yt: Barbie. PVM",Artist
jeeniiu,815,111,"ℨℨℨ 
𝙎𝙤𝙛𝙩 𝙛𝙤𝙤𝙩𝙥𝙧𝙞𝙣𝙩, 𝙚𝙩𝙚𝙧𝙣𝙖𝙡 𝙞𝙢𝙥𝙖𝙘𝙩. 
🌙",
profediego_ec,55820,3352,"🎓Más de 100,000 estudiantes ingresados  a las mejores universidades públicas de 🇪🇨
🏛️CEO @cedecenter_ecuador @cedecenter_argentina @alertamente_ec",Education
feid,14739270,1411,🇨🇴,
xavioficial,3859026,2178,🚨X-TOUR YA DISPONIBLE🚨,Artist
tefanyyuu.6,526,270,"17 | Tauro ♉️  
flores, danza & cielo ☁️  
blooming in silence ✧",Dancer
darkiu.u,461,209,🌙✨,
johnnydepp,29532780,363,Occasional Thespian,
camimendes,23276463,689,"café com leite
@honor.role",
edumarurip,248591,4041,"Actor _________ y más allá
@opentosuggestions__",
antoniovalencia2525,2681657,1352,"Ecuador Football Player 🇪🇨
@fifa Legend
Ex @manchesterunited",
estivenjhoel1,40,55,👿🥳🍻,
leomessi,511060194,357,Bienvenidos a la cuenta oficial de Instagram de Leo Messi / Welcome to the official Leo Messi Instagram account,Athlete
emilya._26,502,440,"- Nadie es como yo, incluso yo, ya no soy yo 👾
-22⏳",
alexx_andy3216,123,2,,
karolg,71282564,2056,,
b_wlad.exe,118,120,22,
dilxn_xz,366,498,💎,
emilydomenicacai,807,290,,
womenciso,7372,589,"Comunidad, colaboración y contenido en ciberseguridad",
